"species","deviance_explained","max_edf","scientific_name","Order","population_desc","in_traits"
"Inland Thornbill",0.7906,2.09,"Acanthiza apicalis","Passeriformes","Endemic (entirely Australian)",TRUE
"Pacific Emerald Dove",0.4829,1.53,"Chalcophaps longirostris","Columbiformes","Australian",TRUE
"Wompoo Fruit-Dove",0.7891,2.19,"Megaloprepia magnifica","Columbiformes","Australian",TRUE
"Australian Spectacled Monarch",0.7045,2.82,"Symposiachrus trivirgatus","Passeriformes","Unknown",TRUE
"Superb Parrot",0.7763,2.07,"Polytelis swainsonii","Psittaciformes","Endemic (entirely Australian)",TRUE
"Powerful Owl",0.4614,3.37,"Ninox strenua","Strigiformes","Endemic (entirely Australian)",TRUE
"Noisy Pitta",0.5293,2.39,"Pitta versicolor","Passeriformes","Australian",TRUE
"Greater Bluebonnet",0.8496,0.95,"Northiella haematogaster","Psittaciformes","Endemic (entirely Australian)",TRUE
"Diamond Firetail",0.7339,2.36,"Stagonopleura guttata","Passeriformes","Endemic (entirely Australian)",TRUE
"Southern Emuwren",0.6513,3.73,"Stipiturus malachurus","Passeriformes","Endemic (entirely Australian)",TRUE
"White-browed Babbler",0.8141,2.82,"Pomatostomus superciliosus","Passeriformes","Endemic (entirely Australian)",TRUE
"Chestnut-rumped Thornbill",0.8395,2.79,"Acanthiza uropygialis","Passeriformes","Endemic (entirely Australian)",TRUE
"White-winged Fairywren",0.8363,1.79,"Malurus leucopterus","Passeriformes","Endemic (entirely Australian)",TRUE
"White-browed Woodswallow",0.7563,3.97,"Artamus superciliosus","Passeriformes","Endemic (entirely Australian)",TRUE
"Forest Raven",0.6608,2.53,"Corvus tasmanicus","Passeriformes","Endemic (entirely Australian)",TRUE
"White-bellied Cuckooshrike",0.4331,4.74,"Coracina papuensis","Passeriformes","Australian",TRUE
"Emu",0.7264,2.25,"Dromaius novaehollandiae","Struthioniformes","Endemic (entirely Australian)",TRUE
"Australian Boobook",0.4915,4.68,"Ninox boobook","Strigiformes","Australian",TRUE
"Scarlet Robin",0.561,2.69,"Petroica boodang","Passeriformes","Australian",TRUE
"Bassian Thrush",0.53,2.19,"Zoothera lunulata","Passeriformes","Endemic (entirely Australian)",TRUE
"Collared Sparrowhawk",0.1028,1.59,"Tachyspiza cirrocephala","Accipitriformes","Australian",TRUE
"Cockatiel",0.8316,2.46,"Nymphicus hollandicus","Psittaciformes","Endemic (entirely Australian)",TRUE
"Western Gerygone",0.6543,2.62,"Gerygone fusca","Passeriformes","Endemic (entirely Australian)",TRUE
"Regent Bowerbird",0.6049,2.29,"Sericulus chrysocephalus","Passeriformes","Endemic (entirely Australian)",TRUE
"Gang-gang Cockatoo",0.5695,2.83,"Callocephalon fimbriatum","Psittaciformes","Endemic (entirely Australian)",TRUE
"Australian Logrunner",0.7543,2.21,"Orthonyx temminckii","Passeriformes","Endemic (entirely Australian)",TRUE
"Varied Triller",0.6216,1.7,"Lalage leucomela","Passeriformes","Australian",TRUE
"Purple-backed Fairywren",0.7317,2.3,"Malurus assimilis","Passeriformes","Unknown",TRUE
"Speckled Warbler",0.692,2.8,"Pyrrholaemus sagittatus","Passeriformes","Endemic (entirely Australian)",TRUE
"Peregrine Falcon",0.1297,2.26,"Falco peregrinus","Falconiformes","Australian",TRUE
"Gray Goshawk",0.177,1.81,"Tachyspiza novaehollandiae","Accipitriformes","Unknown",TRUE
