"CensusKey","FRic","FEve","FDis","FDiv","Q","sp_richness","ibraCode","IBRA","zonekey","formation","class","CCS","SCS","FCS","vi","LMA_cwm","seedmass_cwm","height_cwm","LA_cwm","leafN_cwm","wooddensity_cwm","classIBRA"
"CPJGI0131349",0.019962524,0.795061086,1.529776679,0.757735515,2.082425526,23,"SYB","Sydney Basin",770782,"Freshwater wetlands","Coastal Heath Swamps",81.05357815,0.01,NA,0.900297607,2.20933383481254,-0.62210474961099,-0.11823215907322,2.08652108993753,1.04177631652502,-0.196888692691914,"Coastal Heath SwampsSydney Basin"
"CPJGI0131353",0.120199139,0.786637949,1.843831472,0.754105633,2.493558426,47,"SYB","Sydney Basin",770786,"Wet sclerophyll forests (Shrubby subformation)","Southern Escarpment Wet Sclerophyll Forests",91.19761243,0.01,NA,0.95497441,1.99236674057297,-0.433548073119472,0.300337970198639,2.51764670203227,1.17150541686291,-0.214281538648773,"Southern Escarpment Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131361",0.036761516,0.821112721,1.234399334,0.735703167,1.728007441,40,"SYB","Sydney Basin",770794,"Wet sclerophyll forests (Grassy subformation)","Southern Tableland Wet Sclerophyll Forests",60.16833158,0.01,NA,0.775682484,2.08926080757787,0.564694341630092,0.182642996279287,2.4075292585734,1.18271618405576,-0.194258951658224,"Southern Tableland Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131365",0.127542452,0.788647126,1.342165076,0.69966814,1.90314028,44,"SYB","Sydney Basin",770798,"Dry sclerophyll forests (Shrubby subformation)","Sydney Montane Dry Sclerophyll Forests",88.97444818,0.01,NA,0.943262679,2.11918455104421,0.437021266131359,0.107537318801955,2.53594425758861,1.10304220901185,-0.206207163709227,"Sydney Montane Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131369",0.031043974,0.822059777,1.164257305,0.731204791,1.631184018,38,"SYB","Sydney Basin",770802,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",71.02819405,0.01,NA,0.842782262,2.19451915073144,0.479847043242919,-0.0707350010667711,2.29078805964443,1.14178252830677,-0.182953752827618,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131385",0.040605423,0.780035527,1.247841131,0.729513965,1.751714235,37,"SYB","Sydney Basin",770818,"Wet sclerophyll forests (Shrubby subformation)","Southern Escarpment Wet Sclerophyll Forests",77.32948379,0.01,NA,0.879371843,1.9830797360055,0.286394254706465,0.137771950056963,2.52378958563825,1.27244833003027,-0.215874848654475,"Southern Escarpment Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131389",0.000819682,0.844519361,0.790309608,0.803065153,1.055718452,14,"SYB","Sydney Basin",770822,"Heathlands","Sydney Coastal Heaths",26.08224346,0.01,NA,0.510707778,2.23186623109714,0.375486997291444,-0.241210781712723,2.05133473781559,1.03204033651855,-0.194768830825512,"Sydney Coastal HeathsSydney Basin"
"CPJGI0131393",0.054248049,0.811694002,1.552810069,0.706629073,2.17088609,42,"SYB","Sydney Basin",770826,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",71.04382257,0.01,NA,0.842874976,2.11382468117308,0.326069106157816,0.243111954727681,2.07033197464786,1.16450692370409,-0.177301823061603,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131397",0.029187432,0.843523734,1.092715051,0.708599406,1.549884298,35,"SYB","Sydney Basin",770830,"Dry sclerophyll forests (Shrubby subformation)","Sydney Coastal Dry Sclerophyll Forests",58.19344925,0.01,NA,0.76284631,2.30187524906563,0.666155829828937,0.320654072623006,2.15546125696596,1.05308504834745,-0.18660769742124,"Sydney Coastal Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131401",0.066275729,0.838198899,1.081056674,0.75762442,1.507814751,54,"SYB","Sydney Basin",770834,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",90.43852455,0.01,NA,0.950991717,2.23296571510318,0.645282936551742,0.125197312989857,2.39852134738076,1.13014126940068,-0.183779860211671,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131405",0.086352061,0.8676164,1.211949053,0.747523623,1.686959663,66,"SYB","Sydney Basin",770838,"Dry sclerophyll forests (Shrubby subformation)","Sydney Coastal Dry Sclerophyll Forests",89.05332285,0.01,NA,0.943680681,2.26156957586724,0.412814043284489,0.0391422979103365,2.12553156014579,0.988281499053001,-0.187455859120521,"Sydney Coastal Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131409",0.073340772,0.835155336,1.216125639,0.738907471,1.701396955,46,"SYB","Sydney Basin",770842,"Heathlands","Sydney Coastal Heaths",94.13111384,0.01,NA,0.970211904,2.3018045527401,0.469563221632422,0.00974361561073379,2.14818522536998,0.976903456559346,-0.190932307740717,"Sydney Coastal HeathsSydney Basin"
"CPJGI0131413",0.029093698,0.858801371,1.160480937,0.779152484,1.596056218,33,"SYB","Sydney Basin",770846,"Forested wetlands","Eastern Riverine Forests",62.24413338,0.01,NA,0.788949513,2.12154117677034,0.496432082771947,0.261176101432692,2.52459181167805,1.20000426398752,-0.194539320221667,"Eastern Riverine ForestsSydney Basin"
"CPJGI0131421",0.004865867,0.74845849,1.156527426,0.730263937,1.589851674,18,"SYB","Sydney Basin",770854,"Heathlands","Sydney Coastal Heaths",28.88699896,0.01,NA,0.537466268,2.26034015332169,0.39928611296893,-0.0705610133678498,2.22756782882694,0.99803995457377,-0.175366055643746,"Sydney Coastal HeathsSydney Basin"
