"site","FRic","FEve","FDis","FDiv","Q","sp_richness","IBRA","formation","class","shot_number","beam","delta_time","lat","lon","ground_elev","height_lastbin","height_bin0","rh100","cover","pai_total","fhd","sensitivity","pai_z0_5m","pai_z5_10m","pai_z10_15m","pai_z15_20m","pai_z20_25m","pai_z25_30m","pai_z30_35m","pai_z35_40m","pai_z40_45m","pai_z45_50m","pai_z50_55m","pai_z55_60m","pai_z60_65m","pai_z65_70m","pai_z70_75m","pai_z75_80m","pai_z80_85m","pai_z85_90m","pai_z90_95m","pai_z95_100m","pai_z100_105m","pai_z105_110m","pai_z110_115m","pai_z115_120m","pai_z120_125m","pai_z125_130m","pai_z130_135m","pai_z135_140m","pai_z140_145m","pai_z145_150m","pavd_z0_5m","pavd_z5_10m","pavd_z10_15m","pavd_z15_20m","pavd_z20_25m","pavd_z25_30m","pavd_z30_35m","pavd_z35_40m","pavd_z40_45m","pavd_z45_50m","pavd_z50_55m","pavd_z55_60m","pavd_z60_65m","pavd_z65_70m","pavd_z70_75m","pavd_z75_80m","pavd_z80_85m","pavd_z85_90m","pavd_z90_95m","pavd_z95_100m","pavd_z100_105m","pavd_z105_110m","pavd_z110_115m","pavd_z115_120m","pavd_z120_125m","pavd_z125_130m","pavd_z130_135m","pavd_z135_140m","pavd_z140_145m","pavd_z145_150m","match_distance_m","mean_pai","mean_fhd","mean_evenness","mean_height","sd_height","prop_understory","prop_midstory","prop_canopy","n_shots","n_sites","formation_lab","sp_richness_bench","total_cover","shannon_H","pielou_evenness","gini_simpson"
"CPJGI0121378",0.190121334,0.790202902,2.160479983,0.774927684,2.786763423,42,"NSW North Coast","Rainforests","Dry Rainforests",312460500100089664,5,203956712.994347,-32.0016438700248,151.825897102721,365.212280273438,-11.2011117935181,26.1230602264404,26.05,0.718459129333496,2.54451751708984,3.07205843925476,0.985029757022858,2.54114699363708,2.2311110496521,1.42427337169647,0.673747956752777,0.16871266067028,0.0105064250528812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620071776211262,0.111687362194061,0.155736312270164,0.125556066632271,0.0663241520524025,0.016871266067028,0.001050642458722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9344410846542,7.04949845746159,1.3784576167981,0.769331844185526,8.05236977388299,5.41258092532171,0.360472026339319,0.518531132875063,0.120996840785618,1,275,"Rainforests (n = 275)",43,84,3.71597419006302,0.981973566217766,0.973922902494331
"CPJGI0121454",0.062783514,0.841130344,1.298841893,0.701487683,1.850979924,40,"Sydney Basin","Heathlands","Sydney Coastal Heaths",24230600400704180,6,43367206.3512143,-33.8184871096139,151.300087442246,100.349632263184,-8.08870220184326,4.95226764678955,4.94,0.0584693253040314,0.120499096810818,1.62805140018463,0.967490613460541,0.120499096810818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240998193621635,0.0120499096810818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7269959199387,0.120499096810818,0,NA,2.5,4.44089209850063e-16,1,0,0,1,179,"Heathlands (n = 179)",34,101,3.6148706624551,0.961095009907103,0.969512792863445
"CPJGI0121458",0.000202863,0.815635765,1.398912722,0.853653313,1.793736037,9,"Sydney Basin","Grasslands","Maritime Grasslands",99810000100050624,0,85468608.3833182,-33.8081957201153,151.291806849852,25.2000503540039,-5.50462102890015,14.431583404541,14.26,0.38737541437149,0.980169355869293,2.63330769538879,0.956727266311646,0.980169355869293,0.663310885429382,0.207835271954536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633716881275177,0.0772334039211273,0.0663310885429382,0.0207835268229246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8105261226057,1.85131551325321,0.949951162813051,0.864682811772216,5.41409384735944,3.4193134300525,0.529444791475278,0.470555208524722,0,1,245,"Grasslands (n = 245)",19,53,2.85872292646456,0.938972526870982,0.934140263438946
"CPJGI0121417",0.105912333,0.789861016,1.565424554,0.666459387,2.209327378,47,"NSW North Coast","Wet sclerophyll forests (Shrubby subformation)","Northern Escarpment Wet Sclerophyll Forests",88830000100090128,0,79349246.5299306,-31.4054629851879,151.966936209867,503.513397216797,-4.6406512260437,36.8806114196777,34.18,0.892458498477936,4.4929723739624,3.0567569732666,0.978665173053741,4.4929723739624,2.92919516563416,1.56309068202972,0.855594336986542,0.574627935886383,0.375931203365326,0.125444427132607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312755435705185,0.292988181114197,0.207360088825226,0.0988462716341019,0.0479663126170635,0.0449183508753777,0.0375931188464165,0.0125444428995252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7236181648492,10.9168561249971,1.51853506540028,0.780372652939546,8.70737037689254,7.28338182029927,0.411562845797199,0.411499958983389,0.176937195219413,1,365,"Wet sclerophyll forests (Shrubby subformation) (n = 365)",44,91,3.80031347469677,0.98168848995147,0.976210602584229
"CPJGI0121645",0.000233441,0.796569314,0.774894558,0.749137844,1.048637315,10,"Riverina","Grassy woodlands","Floodplain Transition Woodlands",22760200100043940,2,42545535.6902728,-35.6105149831956,145.406821090692,114.150917053223,-6.27639865875244,4.06644296646118,4,0.0138822989538312,0.0279593467712402,1.28375494480133,0.941750347614288,0.0279593467712402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559186935424805,0.00279593467712402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2168629507629,0.0279593467712402,0,NA,2.5,0,1,0,0,1,1057,"Grassy woodlands (n = 1057)",23,44,3.11837982360709,0.968779161816463,0.951446280991736
"CPJGI0121665",0.280294439,0.833606055,1.668541841,0.729052771,2.311814283,65,"Sydney Basin","Wet sclerophyll forests (Shrubby subformation)","North Coast Wet Sclerophyll Forests",96760100100049840,1,83768655.6148047,-33.7235821471942,151.280436734297,39.7043380737305,-5.83665466308594,24.4423923492432,24.19,0.74148952960968,2.70689630508423,3.01719903945923,0.963127851486206,2.70689630508423,2.34450387954712,1.50500690937042,0.627814769744873,0.189074262976646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724784806370735,0.120188944041729,0.171668916940689,0.131593257188797,0.0627814754843712,0.0189074259251356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69302968547773,7.37329612672329,1.36025462540449,0.845173718660109,7.92108910454261,5.32804199718082,0.367121604579739,0.522088184545529,0.110790210874732,1,365,"Wet sclerophyll forests (Shrubby subformation) (n = 365)",85,128,4.49993559384325,0.981454201098941,0.9876708984375
"CPJGI0121681",0.238395776,0.808537565,1.488718132,0.717826515,2.082904159,55,"Sydney Basin","Dry sclerophyll forests (Shrubby subformation)","Sydney Coastal Dry Sclerophyll Forests",92491100100049200,11,81388753.3878355,-33.7516884759061,151.084684118255,78.2992553710938,-13.8086843490601,24.8645458221436,24.55,0.618557631969452,1.93080067634583,3.09964418411255,0.962278068065643,1.92983305454254,1.63069093227386,1.1711767911911,0.750604093074799,0.223208084702492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598284155130386,0.0758656188845634,0.0880086794495583,0.0947968661785126,0.0750604122877121,0.0223208088427782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0492706384547,5.70551295578479,1.44327524669701,0.896757330957996,8.73755408834348,5.83218133419834,0.338240061760949,0.491080774888813,0.170679163350238,1,1569,"Dry sclerophyll forests (Shrubby subformation) (n = 1569)",72,142,4.3503527445295,0.981839904927954,0.98611386629637
"CPJGI0121711",0.090825987,0.791613423,1.713613659,0.708741717,2.419274731,29,"Sydney Basin","Freshwater wetlands","Coastal Floodplain Wetlands",79830200100049904,2,74333803.6625516,-33.7133291868626,151.270638295257,24.9198036193848,-7.21943044662476,25.9076442718506,25.75,0.560833990573883,1.64656114578247,3.17994022369385,0.975166022777557,1.64656114578247,1.32497274875641,1.13944351673126,0.721134126186371,0.275244534015656,0.0143174910917878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643176808953285,0.0507117658853531,0.0603838637471199,0.0864198952913284,0.0706816613674164,0.0275244526565075,0.00143174908589572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4990351280401,5.12167356256395,1.49855401730878,0.836358921521089,9.27496102350719,6.14317494381946,0.321488889455537,0.481174021612959,0.197337088931504,1,242,"Freshwater wetlands (n = 242)",38,96,3.73904266312654,0.971142680728872,0.973524305555556
"CPJGI0121723",0.099405364,0.851183377,1.153919117,0.743881226,1.629408033,44,"Sydney Basin","Dry sclerophyll forests (Shrubby subformation)","Sydney Coastal Dry Sclerophyll Forests",96760800100050800,8,83768653.8627649,-33.8355925404638,151.192533945024,45.8316650390625,-6.72564220428467,37.3432235717773,30.42,0.712265074253082,2.49197149276733,3.11832880973816,0.972691655158997,2.49197149276733,2.4383111000061,2.13006591796875,1.62199378013611,0.750010311603546,0.15419864654541,0.00419452972710133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107320630922914,0.0361905544996262,0.0816317275166512,0.138005554676056,0.146779522299767,0.074581578373909,0.01541986502707,0.0004194529610686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0654134745778,9.59074577875435,1.60216514154867,0.823350010444457,10.5080456140768,6.64918936671319,0.259830835917641,0.476331781006523,0.263837383075836,1,1569,"Dry sclerophyll forests (Shrubby subformation) (n = 1569)",49,115,3.94628497263345,0.971885324429758,0.978449905482042
"CPJGI0121751",0.132589041,0.811488222,1.284742442,0.75672284,1.799644335,46,"Sydney Basin","Dry sclerophyll forests (Shrubby subformation)","Sydney Coastal Dry Sclerophyll Forests",219690300100049312,3,152277726.966099,-33.8170428297693,151.214956171226,43.7422637939453,-1.95490252971649,32.3685264587402,13.97,0.264160513877869,0.613495469093323,2.50000643730164,0.915519118309021,0.613495469093323,0.44567483663559,0.18111178278923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335641279816628,0.0432383678853512,0.044567484408617,0.0181111786514521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.058204814364,1.24028208851814,0.996916831365578,0.907432805593481,5.75691392987585,3.60254282515164,0.494641884110664,0.505358115889336,0,1,1569,"Dry sclerophyll forests (Shrubby subformation) (n = 1569)",56,122,3.99159733335525,0.970985115389316,0.979306638000538
